student_preference,lecturer_topics,match
I am eager tuild a career in Green and Sustainable Extraction of Bioactive Compounds.,"['Modern Physics', 'Electrochromic Supercapacitor', 'Nanomaterials']",0
I am passionate about Hydrological Cycle Analysis and want to explore more in this field.,"['Research Project', 'Data Communication and Networking', 'Electrical actuators, sensors and drives']",0
I want to bated by Introduction to Computer Applications and its potential to solve real-world problems.,"['Algorithm Analysis and Design', 'Energy efficiency', 'Engineers in Society']",0
I am passionate about Hardware Security and want to explore more in this field.,"['Radiation and Medical Physics', 'Mixed Reality', 'Hardware Security']",1
I am excited to explore the latest advancements in Radioanalytical techniques for characterisation of media.,"['Embeded Systems', 'AI and Learning Algorithms: Machine Learning, Deep Learning', 'Malware analysis']",0
I want to contribute to innovative solutions in Research Project.,"['Information Visualization & Analytics', 'Application of Machine Learning and Deep Learning', 'Research Project']",1
I want to bated by Construction Technology and its potential to solve real-world problems.,"['Mobile App Development', 'Decarbonization strategies and Net-zero transition', 'Construction Technology']",1
I am eager tuild a career in Energy & Fuel.,"['Sustainable Engineering Design & Design and Innovation', 'Information Visualization & Analytics', 'Movement Detection']",0
I am eager tuild a career in Resource conservation via process integration techniques.,"['Engineering Design & Ethics', 'Digital Electronics', 'Computer Systems Engineering']",0
I am looking to enhance my skills in Mobile and Web Development.,"['Image and Signal Processing', 'Advanced Micro- Technologies', 'Mobile and Web Development']",1
I want to bated by Radiation dosimetry and its potential to solve real-world problems.,"['Dynamic Simulation', 'Photonics', 'Web Development, Capstone Project']",0
I am eager tuild a career in Fault Tolerance.,"['Structural engineering', 'Bio-Based Nanomaterials', 'Fault Tolerance']",1
I want to gain hands-on experience in Solid Waste Management.,"['Biochemical Processes', 'Wireless Networks / WSNs', 'Fermentation Technology']",0
I am fascino collaborate on research in Mobile computing.,"['Computer-Aided Design and Simulation', 'Augmented Reality', 'Robotics & Automated Systems: the Robot Operating System ROS']",0
I want to bated by WEB1201/ WEB2014 Web Fundamentals and its potential to solve real-world problems.,"['Synthesis and Characterization of Carbonaceous Materiels', 'Game Development', 'Machine Learning/ Deep Learning']",0
I am eager tuild a career in Engineering Project Management and Supervision.,"['Telecommunications Engineering', 'Electrical Circuits', 'Engineering Project Management and Supervision']",1
I want to gain hands-on experience in Business Information System.,"['Sustainable Value Chain', 'Reservoir Simulation Model', 'ICT in Environment']",0
I am excited to explore the latest advancements in Movement Detection.,"['Statistics', 'Data Visualization', 'Programming and Software: Python, C++, MATLAB,  The Robot Operating System, ROS 2.0, ROS-I']",0
I am interested in learning about Monte Carlo methods and its applications.,"['Computer and Machine Vision', 'Operational optimisation for sustainability', 'User Interface Design']",0
I want to work on projects related to Energy Optimization.,"['Mobile applications', 'Sustainable construction materials', 'OOP']",0
I want to contribute to innovative solutions in User Interface Design.,"['Internet of Things, Big-Data, Cloud Computing, and Data Center Networking', 'Wireless propagation and channel modelling', 'User Interface Design']",1
I am passionate about Physical Principles for Engineering & Technology and want to explore more in this field.,"['Catalysis', 'BAA5043 Business Intelligence', 'Introduction to Microcontroller']",0
I am passionate about Mechanical Engineering and want to explore more in this field.,"['Fermentation Technology', 'Geospatial Analysis', 'Mechanical Engineering']",1
I want to contribute to innovative solutions in Programming Paradigms.,"['Energy & Fuel', 'Biomass Valorization', 'Programming Paradigms']",1
I want to bated by AI for Healthcare and its potential to solve real-world problems.,"['Business Computing', 'Wastewater treatment [Biological treatment, adsorption]', 'Process Control and Instrumentation']",0
I am interested in learning about Software Project Management and its applications.,"['Energy efficiency', 'Design of Computer & Communication Systems.', 'Database']",0
I am looking to enhance my skills in Mobile system.,"['Computing', 'Introduction to Microcontroller', 'Luminescence dosimetry']",0
I want to bated by ICT in Environment and its potential to solve real-world problems.,"['Wireless propagation and channel modelling', 'Sustainable Value Chain', 'Energy Engineering']",0
I want to gain hands-on experience in Structural engineering.,"['Context-awareness', 'Distributed haptics', 'Structural engineering']",1
I want to work on projects related to Concrete structure design.,"['Battery state estimation', 'Mobile radio network', 'Cellular-connected drones']",0
"I want to work on projects related to Design, creative thinking, design thinking, computational thinking.","['IoT Security, Privacy and ML', 'Project Preparation, Planning and Problem Solving', 'Design, creative thinking, design thinking, computational thinking']",1
I am looking to enhance my skills in AI applications for industrial optimization.,"['Radioanalytical techniques for characterisation of media', 'Embedded Programming', 'AI applications for industrial optimization']",1
I am excited to explore the latest advancements in ICT in Environment.,"['Photonics', 'Web Fundamentals and Programming', 'ICT in Environment']",1
I want to bated by WEB1201/ WEB2014 Web Fundamentals and its potential to solve real-world problems.,"['Industrial Internet of Things', 'Polymer recycling', 'Earthquake engineering']",0
I want to contribute to innovative solutions in Chemical Engineering Principles.,"['Fastening technology', 'Electronic Testing, Instrumentation and Measurement', 'Energy Management System; Energy Transition; Power Quality']",0
I am excited to explore the latest advancements in Thermochemical Conversion Technology.,"['Housing Design', 'Built Environment', 'Organic Chemistry']",0
"I am eager tuild a career in Engineering Education, Impact of Technology on Society, Creative Robotics.","['Engineering Materials', 'Psychology and Cybersecurity', 'Engineering Education, Impact of Technology on Society, Creative Robotics']",1
I want to contribute to innovative solutions in Engineering design.,"['Thermodynamics', 'Advanced Micro- Technologies', 'Community Service for Planetary Health']",0
I am interested in learning about Virtual and Modular Electronic Instrumentation and Measurement and its applications.,"['Engineering drawing', 'Activated carbon', 'Virtual and Modular Electronic Instrumentation and Measurement']",1
"I am looking to enhance my skills in Electrical actuators, sensors and drives.","['Multimodal communications', 'Wireless propagation and channel modelling', 'Electrical actuators, sensors and drives']",1
I am fascino collaborate on research in Land use planning and optimisation.,"['Image and Signal Processing', 'Advanced Topics in Computer Security', 'Land use planning and optimisation']",1
I am looking to enhance my skills in Nanomaterial for Ultrashort Fiber Laser.,"['Predictive Analytics', 'Statistics', 'Nanomaterial for Ultrashort Fiber Laser']",1
I am looking to enhance my skills in Mobile and Web Development.,"['Microalgae', 'Business Computing', 'IoT Security, Privacy and ML']",0
I am eager tuild a career in Thermodynamics.,"['CHE1034 Organic Chemistry', 'Process plant engineering', 'Engineering Design & Ethics']",0
I want to work on projects related to Electrical Drive Systems.,"['Catalyst', 'Cyber-Physical Systems', 'Electrical Drive Systems']",1
I want to contribute to innovative solutions in Sustainable Value Chain.,"['Explainable AI', 'Game Development', 'Sustainable Value Chain']",1
I want to bated by Electrochromic Supercapacitor and its potential to solve real-world problems.,"['Computer-aided molecular design', 'Engineering drawing', 'Radiation Dosimetry: Development of carbon dosimeter.']",0
I want to gain hands-on experience in Concrete technology.,"['Separations', 'High-speed computer and Telecommunications networks', 'Concrete technology']",1
I want to work on projects related to Information Security/Privacy.,"['Capstone Project', 'Engineering Physics', 'Information Security/Privacy']",1
I am fascino collaborate on research in Engineering Design with Constraints..,"['Epidemiology', 'Energy Conversions', 'Engineering Design with Constraints.']",1
I am looking to enhance my skills in Energy Engineering.,"['Machine learning approaches', 'Mobile programming', 'Energy Engineering']",1
I am passionate about Power Electronics and want to explore more in this field.,"['AI in Telecommunications', 'Built Environment', 'Electrical Drive Systems']",0
I am fascino collaborate on research in Final Year Project.,"['Speech Recognition', 'Sports Engineering and Performance Analysis', 'Final Year Project']",1
I am eager tuild a career in Concurrent Programming.,"['Research Methodology', 'Engineers in Society', 'Social Media Analytics']",0
I am fascino collaborate on research in Life cycle assessment and environmental impacts.,"['Artificial Intelligent and Big Data Analytics', 'Radiation processing of polymer and polymer blends', 'Requirements engineering']",0
I want to gain hands-on experience in Data Communication and Networking.,"['Game Development', 'Engineering design', 'Data Communication and Networking']",1
I am excited to explore the latest advancements in Carbon dioxide capture and utilisation.,"['AI for Healthcare', 'Semiconductors for optoelectronic applications', 'Quantum Computing']",0
I want to bated by Antenna Designs and Implantable Antennas and its potential to solve real-world problems.,"['Dynamic Simulation', 'Radiation Shielding: Development of Pb free material for shielding of ionizing radiation', 'Numerical solutions for non-linear pdes.']",0
I want to work on projects related to Software Engineering & Development.,"['Programming', 'Python Programming', 'Software Engineering & Development']",1
I am eager tuild a career in Digital Hardware Design.,"['Radiation Detection and Measurement', 'Technology Transfer', 'Mobile applications']",0
I am excited to explore the latest advancements in Aviation Technology.,"['Certified Hacking Forensic Investigator', 'Network Analysis', 'Green Computing']",0
I want to contribute to innovative solutions in IoT Security.,"['Information Retrieval', 'Statistical methods in data science', 'Robotics & Automated Systems: the Robot Operating System ROS']",0
I am excited to explore the latest advancements in Data Visualization.,"['Energy efficiency', 'Waste water treatment', 'Web development']",0
I am excited to explore the latest advancements in CHE1014 Physical Chemistry.,"['VR & AR', 'Intelligent transportation systems', 'Mobile programming']",0
I am interested in learning about Process plant engineering and its applications.,"['AI applications for industrial optimization', 'Empirical Software Engineering', 'Radiation Shielding: Development of Pb free material for shielding of ionizing radiation']",0
I am interested in learning about Process Design and Simulation and its applications.,"['Additive Manufacturing', 'Cybersecurity', 'Process integration and optimisation']",0
I want to gain hands-on experience in Resource Recovery from Waste / Wastewater – Bioplastics and Bio-flocculants.,"['Electrical actuators, sensors and drives', 'Statistics', 'Discrete Mathematics']",0
I am fascino collaborate on research in Epidemiology.,"['Internet of Things', 'Reinforcement Learning', 'Housing policy']",0
I am passionate about Advanced Theory of Computations and want to explore more in this field.,"['Process integration and optimisation', 'Programming for Engineers', 'Advanced Theory of Computations']",1
I want to gain hands-on experience in Introduction to Statistic.,"['Radiation Physics, Radiation Protection, Radiation Technology', 'Medical imaging', 'Introduction to Statistic']",1
I want to bated by Radiation Shielding: Development of Pb free material for shielding of ionizing radiation and its potential to solve real-world problems.,"['Chemical Process Modelling', 'Process & Food Engineering', 'Advanced Business Analytics and Visualization']",0
I am interested in learning about Information and Communication Technology/ Information Technology/ Multimedia/ Information System and its applications.,"['Introduction to Microcontroller', 'Separation Processes', 'Information and Communication Technology/ Information Technology/ Multimedia/ Information System']",1
I am fascino collaborate on research in Nanomaterials.,"['Introduction to Computer Applications', 'Tiny/Embedded Machine Learning', 'Nanomaterials']",1
"I want to work on projects related to Web Development, Capstone Project.","['Supply Chain Management', 'Interactive arts / contents design', 'Human Computer Interaction']",0
I want to bated by Deep Learning and its potential to solve real-world problems.,"['Engineering Education, Impact of Technology on Society, Creative Robotics', 'Low carbon cements', 'Deep Learning']",1
I am looking to enhance my skills in 3D Printing.,"['Industrial Automation', 'Wastewater treatment [Biological treatment, adsorption]', '3D Printing']",1
I am eager tuild a career in Business Analytics (Information Systems).,"['Drying Technology of Natural Product', 'Process plant engineering', 'Business Analytics (Information Systems)']",1
I am interested in learning about Advanced Software System Design and Architecture and its applications.,"['Advanced Topics in Computer Security', 'Green Machine Learning', 'Cellular-connected drones']",0
I am fascino collaborate on research in Deep Learning and Neural Networks.,"['Cloud Computing', 'Digital healthcare', 'Deep Learning and Neural Networks']",1
I am interested in learning about Python Programming and its applications.,"['Electrochromic Supercapacitor', 'Catalysis', 'Computer Science']",0
I am fascino collaborate on research in Cybersecurity.,"['Intelligent Control: Neural Networks, Fuzzy Controller, expert Systems', 'Recommender Systems', 'Resource conservation via process integration techniques']",0
I want to bated by Hydrology & Hydraulic Engineering and its potential to solve real-world problems.,"['SDN', 'Computer Organization', 'Hydrology & Hydraulic Engineering']",1
I am fascino collaborate on research in Transportation Systems.,"['Requirements engineering', 'Modelling and Control', 'Thermodynamics, Thermo-fluids & Heat Transfer']",0
I am interested in learning about Introduction to Statistic and its applications.,"['Process Control and Instrumentation', 'Urban Poverty', 'Introduction to Statistic']",1
I am interested in learning about AI for Healthcare and its applications.,"['Sustainable consumption and production framework', 'COSMO-RS modelling', 'AI for Healthcare']",1
I am eager tuild a career in Wireless sensor networks.,"['Prefabrication', 'Programming for Engineers', 'Programming Fundamentals']",0
I am passionate about Optical Fiber for sensing and want to explore more in this field.,"['Energy storage technologies', 'Embedded Programming', 'Optical Fiber for sensing']",1
I want to contribute to innovative solutions in WEB1201/ WEB2014 Web Fundamentals.,"['Process and plant design', 'Logic Design and Computer System Engineering', 'Energy Conversions']",0
I am interested in learning about Mobile Commerce and its applications.,"['Capstone Project', 'Thermoelectric', 'Eutectic Phase Change Materials']",0
I want to work on projects related to Urban Poverty.,"['Individual Research Project.', 'Process Control', 'IoT, its applications, and IoT Security']",0
I am interested in learning about Biochemical Processes and its applications.,"['Machine learning approaches', 'Construction Technology', 'Virtual Reality']",0
I am passionate about Education Technology and want to explore more in this field.,"['Microgrid/Smart Grid; Internet of Energy', 'Information and Data Analytics', 'Computer Organization']",0
I want to contribute to innovative solutions in CHE1034 Organic Chemistry.,"['Database', 'Network and Information Security', 'Bioinformatics']",0
I am looking to enhance my skills in GCM5001/ MRM5013/ RSM5010 Research Methodology.,"['Programming for Engineers', 'The Internet of Things: Data Science, Embedded Systems, Cloud Solutions', 'GCM5001/ MRM5013/ RSM5010 Research Methodology']",1
I am interested in learning about IST2024 Applied Statistics and its applications.,"['Optimization of material properties for energy storage, heat transfer, & electromagnetic applications', 'Energy and environmental physics', 'IST2024 Applied Statistics']",1
I want to bated by Activated carbon and its potential to solve real-world problems.,"['Human factors in Software Systems', 'Engineering Diagnostic Tools', 'Activated carbon']",1
I am passionate about Bioinformatics and want to explore more in this field.,"['User Interface Design', 'Energy Management Algorithm', 'Optical and radio communications']",0
I want to contribute to innovative solutions in Sensors and embedded systems.,"['Bioenergy [Biohydrogen, biochar, bioethanol]', 'Nanofluids', 'Sensors and embedded systems']",1
I want to contribute to innovative solutions in Advanced Fluid Dynamics.,"['Decision Support System', 'Mobile applications', 'Digital Electronics']",0
I want to contribute to innovative solutions in Resource Recovery from Waste / Wastewater – Bioplastics and Bio-flocculants.,"['Process and plant design', 'Cognitive Science', 'Resource Recovery from Waste / Wastewater – Bioplastics and Bio-flocculants']",1
I am eager tuild a career in Computer-aided molecular design.,"['Separation Processes', 'Inflow Forecasting Models', 'Intelligent Systems in Power and Energy Applications']",0
I am excited to explore the latest advancements in Autonomous Vehicles.,"['Enterprise Systems and e-Commerce Application', 'Research Methods in Science and Technology', 'Autonomous Vehicles']",1
I am looking to enhance my skills in Digital Marketing.,"['Synthesis & development of 2D nanomaterials, composites, & intermetallic compounds', 'Telecommunications Engineering', 'Biological Treatment']",0
I want to gain hands-on experience in Industrial Internet of Things.,"['Software Design and Architecture', 'AI and Learning Algorithms: Machine Learning, Deep Learning', 'Microgrid/Smart Grid; Internet of Energy']",0
I am interested in learning about Next-generation wireless communications and its applications.,"['Engineering Design with Constraints.', 'Fundamental Electronics and Electrical', 'Next-generation wireless communications']",1
I am excited to explore the latest advancements in Radiation effects on cells and tissues.,"['Chemical Engineering Principles', 'Clustering Algorithms & Optimization', 'Radiation effects on cells and tissues']",1
I am excited to explore the latest advancements in Ultrasound Indoor Localization.,"['Energy Optimization', 'Blockchain', 'Green and Sustainable Extraction of Bioactive Compounds']",0
I want to gain hands-on experience in Catalysis.,"['Operations Research', 'Energy storage system and renewable energy integration', 'Catalysis']",1
I want to contribute to innovative solutions in Knowledge Management.,"['Structural System', 'Signal & Systems', 'Knowledge Management']",1
I am looking to enhance my skills in Human-Computer Interaction / Future Interaction Design.,"['Engineering Design & Ethics', 'Electrical Circuits', 'Biological Treatment']",0
"I want to bated by Data Science, Cloud Solutions, R for Data Science, Big Data and its potential to solve real-world problems.","['Catalysis', 'High-Performance Computing', 'User Interface Design']",0
I am eager tuild a career in Artificial Intelligent and Big Data Analytics.,"['Mobile Commerce', 'Waste water treatment', 'Glass materials for gamma ray shielding']",0
I want to gain hands-on experience in E-Commerce Design.,"['Introduction to Environmental Engineering', 'Eutectic Phase Change Materials', 'E-Commerce Design']",1
I am fascino collaborate on research in Database Management Systems.,"['AI in Telecommunications', 'Operations Research', 'Bioenergy [Biohydrogen, biochar, bioethanol]']",0
I am passionate about Engineering Physics and want to explore more in this field.,"['Cellular-connected drones', 'Modular Construction', 'Built Environment']",0
I want to gain hands-on experience in VR & AR.,"['Renewable Energy Conversion and Integrations', 'Properties and Application of Materials', 'Software Design']",0
"I am excited to explore the latest advancements in Project Supervision - Individual, Group, Capstone, Research.","['Object-orineted programming', 'Sustainable smart city', 'Circuit and System Simulation']",0
I am excited to explore the latest advancements in Human Computer Interaction.,"['Ultrasound Indoor Localization', 'Digital transformation', 'Numerical Methods']",0
I want to contribute to innovative solutions in Energy Management Algorithm.,"['Fuel Cell and Hydrogen Technology', 'Energy system transition', 'Energy Management Algorithm']",1
I want to bated by Electrochemical energy storage and conversion and its potential to solve real-world problems.,"['Computer Organization', 'Introduction to Statistic', 'Malware analysis']",0
I am looking to enhance my skills in Sensors and Instrumentation.,"['Tele-robotics', 'Housing policy', 'Final Year Project']",0
I want to gain hands-on experience in Empirical Software Engineering.,"['Design of Computer & Communication Systems.', 'Healthcare', 'Empirical Software Engineering']",1
"I want to gain hands-on experience in Engineering Education, Impact of Technology on Society, Creative Robotics.","['E-Learning', 'Data Privacy and security', 'Engineering Education, Impact of Technology on Society, Creative Robotics']",1
I want to work on projects related to Nuclear Energy: Studies of neutronic properties of Thorium fuel cycle for the next-generation nuclear reactor..,"['Digital System', 'Statistics education', 'Nuclear Energy: Studies of neutronic properties of Thorium fuel cycle for the next-generation nuclear reactor.']",1
I want to gain hands-on experience in Process Intensification.,"['Hydrogen energy', 'Circuit and System Simulation', 'Process Intensification']",1
I am excited to explore the latest advancements in Dynamic Simulation.,"['Computer Graphic', 'Decarbonization strategies and Net-zero transition', 'Operational optimisation for sustainability']",0
I am eager tuild a career in Healthcare.,"['Operating Systems', 'Embedded Programming', 'Operations Research']",0
I am excited to explore the latest advancements in Python Programming.,"['Cybersecurity', 'Chemical product design and molecular design', 'Nanomaterial for Ultrashort Fiber Laser']",0
I want to contribute to innovative solutions in Optical and radio communications.,"['Process System Engineering', 'Digital Hardware Design', 'Optical and radio communications']",1
I am passionate about Programming for Engineers and want to explore more in this field.,"['Blended and Collaborative Learning', 'Cloud Infrastructure and Service', 'Programming for Engineers']",1
I am excited to explore the latest advancements in ICT in Environment.,"['Optical and radio communications', 'Network and Information Security', 'Data Analysis']",0
I am fascino collaborate on research in Sensor Technology.,"['Genomics', 'Advanced Deep Learning', 'Sensor Technology']",1
I am passionate about Communication Principles and want to explore more in this field.,"['Collaborative knowledge management', 'Renewable Energy Conversion and Integrations', 'OOP']",0
"I am passionate about Digital Signal Processing, Information Theory & Network Coding and want to explore more in this field.","['Artificial Intelligent and Big Data Analytics', 'Energy Management Algorithm', 'Digital Signal Processing, Information Theory & Network Coding']",1
I am passionate about Additive Manufacturing and want to explore more in this field.,"['Introduction to Medical Information System', 'Fuel Cell and Hydrogen Technology', 'Software Defined Networking']",0
I am interested in learning about Housing Design and its applications.,"['Integrated process and product design', 'Earthquake engineering', 'Housing Design']",1
I am excited to explore the latest advancements in Neuroscience.,"['Housing planning and Development', 'Biological Treatment', 'Neuroscience']",1
"I want to work on projects related to Generative AI in Robotics: Creative Robotics, Social Robots, CoBots.","['Software Defined Networking', 'Radiation Detection and Measurement', 'Numerical Methods for Civil Engineers']",0
I want to gain hands-on experience in Hydrological Cycle Analysis.,"['BAA5043 Business Intelligence', 'Fundamental Electronics and Electrical', 'Behavioral Science']",0
I want to gain hands-on experience in LiFi and free space optics.,"['Optimization technique', 'Project Supervision - Individual, Group, Capstone, Research', 'Bioremediation Engineering']",0
I want to gain hands-on experience in Processor Design.,"['Technology intervention for the Learning Disabilities and Neurodivergent', 'Internet-of-things applications', 'Processor Design']",1
I want to bated by Cloud Infrastructure and Service and its potential to solve real-world problems.,"['Social Media Analytics', 'Robotic, automation, control systems', 'Cloud Infrastructure and Service']",1
I am excited to explore the latest advancements in Fault Tolerance.,"['Microgrid/Smart Grid; Internet of Energy', 'Biological Treatment', 'Fault Tolerance']",1
I want to gain hands-on experience in Integrated process and product design.,"['Materials & Manufacturing', 'Electrical Circuits', 'Information and Data Analytics']",0
I am eager tuild a career in Cloud Computing.,"['Communication systems', 'Biomass Valorization', 'Robotics & Automated Systems: the Robot Operating System ROS']",0
I want to work on projects related to Cloud Computing Security.,"['Sustainable technology', 'Concrete technology', 'Cloud Computing Security']",1
I want to work on projects related to Computer Interface.,"['Programming Languages', 'Decision Support System', 'Radiation Dosimetry: Development of carbon dosimeter.']",0
I am eager tuild a career in Certified Hacking Forensic Investigator.,"['Photonics', 'Operational optimisation for sustainability', 'Electrical machines']",0
I want to gain hands-on experience in Digital holography and encryption.,"['The Internet of Things: Data Science, Embedded Systems, Cloud Solutions', 'Electrical Circuits', 'Malware analysis']",0
I am eager tuild a career in Urban Planning.,"['Big Data Analytics in the Cloud', 'Intelligent Systems in Power and Energy Applications', 'Urban Planning']",1
I want to work on projects related to Computer Graphic.,"['Rubber recycling', 'Business Computing', 'Computer Graphic']",1
I am looking to enhance my skills in Information Visualization & Analytics.,"['Radiation Physics: Detection and removal of toxic metals in food and environmental samples', 'Physical Chemistry', 'Information Visualization & Analytics']",1
I want to contribute to innovative solutions in Supply Chain Management.,"['Solid state', 'Solid Waste Management', 'High-speed computer and Telecommunications networks']",0
I am fascino collaborate on research in Pharmaceutical Technology.,"['Process System Engineering', 'Distributed haptics', 'Engineering Physics']",0
I want to work on projects related to Information and Data Analytics.,"['Machine Learning Theory', 'Predictive Analytics', 'Information and Data Analytics']",1
I want to work on projects related to Computer Organization.,"['Prefabrication', 'Rubber recycling', 'Computer Organization']",1
I am excited to explore the latest advancements in Computational physics.,"['Networks', 'Knowledge Graphs', 'Computational physics']",1
I want to work on projects related to Energy Conversions.,"['Housing Design', 'Process Control', 'Energy Conversions']",1
I am passionate about Emerging databases and want to explore more in this field.,"['Nanocomposites', 'Technology intervention for the Learning Disabilities and Neurodivergent', 'Emerging databases']",1
I am passionate about Green and Sustainable Extraction of Bioactive Compounds and want to explore more in this field.,"['Liquid thermophysical characterisation', 'Information System Development', 'Bio-Based Nanomaterials']",0
I want to bated by Process Control and its potential to solve real-world problems.,"['Bioinformatics', 'Telecommunications Engineering', 'Count data modelling']",0
"I want to bated by Electrochemical Energy storage Devices  (Supercapacitor, Fuel Cell, Batteries) and its potential to solve real-world problems.","['Analog Electronics Devices', 'Computational intelligence', 'Electrochemical Energy storage Devices \xa0(Supercapacitor, Fuel Cell, Batteries)']",1
I am excited to explore the latest advancements in Text Analytics.,"['Big Data Analytics in the Cloud', 'Computer Network', 'Introduction to Environmental Engineering']",0
I am eager tuild a career in Wireless sensor networks.,"['Software Design', 'Programming in C++, Java and Python', 'Wireless sensor networks']",1
I want to gain hands-on experience in Information Technology Operation Management.,"['Enterprise Systems and e-Commerce Application', 'Industrial Automation', 'Optoelectronics']",0
I want to gain hands-on experience in Knowledge Graphs.,"['Model checking and Theorem proving', 'Infrastructure and natural resources management', 'Knowledge Graphs']",1
I want to gain hands-on experience in Embedded system applications.,"['Psychology and Cybersecurity', 'Digital healthcare', 'Aviation Technology']",0
I am fascino collaborate on research in Information Security tools.,"['Federated Learning', 'Cloud Computing', 'Information Security tools']",1
"I want to work on projects related to Engineering Education, Impact of Technology on Society, Creative Robotics.","['Discrete Mathematics', 'Applied Nuclear and Radiation Physics', 'Engineering Education, Impact of Technology on Society, Creative Robotics']",1
I want to gain hands-on experience in Energy harvesting.,"['Nanomaterial Sensors', 'Internet of Things, Big-Data, Cloud Computing, and Data Center Networking', 'IoT Security, Privacy and ML']",0
I am eager tuild a career in CHE1034 Organic Chemistry.,"['Reinforcement Learning', 'Education Technology', 'CHE1034 Organic Chemistry']",1
I want to contribute to innovative solutions in Algorithm Analysis and Design.,"['Genomics', 'Thermal Energy Storage', 'Algorithm Analysis and Design']",1
I want to bated by Telecommunications Engineering and its potential to solve real-world problems.,"['Optical Fiber Communications', 'Structural mechanics', 'Energy Management System; Energy Transition; Power Quality']",0
I want to contribute to innovative solutions in E-Commerce Design.,"['Fastening technology', 'Data Mining and Knowledge Discovery', 'E-Commerce Design']",1
I want to gain hands-on experience in Structural dynamics.,"['e-learning, e-commerce, e-health, games, Art & Design', 'Predictive Analytics', 'Computer Network']",0
I am eager tuild a career in Nuclear Science.,"['Fermentation Technology', 'Industrial Chemistry', 'Nuclear Science']",1
"I am excited to explore the latest advancements in Generative AI in Robotics: Creative Robotics, Social Robots, CoBots.","['Construction Technology', 'Safety, health and environment management', 'Generative AI in Robotics: Creative Robotics, Social Robots, CoBots']",1
"I am eager tuild a career in Web Development, Capstone Project.","['CHE1034 Organic Chemistry', 'Programming in C++, Java and Python', 'NLP']",0
"I am fascino collaborate on research in Electrochemical Energy storage Devices  (Supercapacitor, Fuel Cell, Batteries).","['Model checking and Theorem proving', 'Human-Computer Interaction / Future Interaction Design', 'Electrochemical Energy storage Devices \xa0(Supercapacitor, Fuel Cell, Batteries)']",1
I am fascino collaborate on research in CO2 capture and utilization technology (adsorption process and electrochemical).,"['Photonics', 'Chemical Process Control', 'Networking Principles']",0
I want to gain hands-on experience in Antenna and Propagation.,"['Entrepreneurship', 'Energy & Fuel', 'Antenna and Propagation']",1
I am excited to explore the latest advancements in Empirical Software Engineering.,"['Data Visualization', 'Process Intensification', 'Empirical Software Engineering']",1
I am eager tuild a career in Radiation physics.,"['Process Control and Instrumentation', 'Artificial intelligence for renewable energy', 'Machine Learning Theory']",0
"I am eager tuild a career in Optimization of material properties for energy storage, heat transfer, & electromagnetic applications.","['Computer Graphic', 'Circuit and System Simulation', 'Optimization of material properties for energy storage, heat transfer, & electromagnetic applications']",1
I want to work on projects related to Cellular Networks.,"['Energy efficiency', 'Identification Technology', 'Cellular Networks']",1
"I am fascino collaborate on research in Data Science, Cloud Solutions, R for Data Science, Big Data.","['Thermochemical Treatment', 'Engineering Project Management and Supervision', 'Data Science, Cloud Solutions, R for Data Science, Big Data']",1
I want to contribute to innovative solutions in Electrical Drive Systems.,"['Cellular-connected drones', 'Nanocomposites', 'Programming paradigms: functional and object-oriented']",0
I want to bated by Quantum Chemistry and its potential to solve real-world problems.,"['Programming for Data Science', 'High-Performance Computing', 'Energy storage technologies']",0
I am excited to explore the latest advancements in Digital Communications.,"['Java Programming', 'Sustainable construction materials', 'Cellular-connected drones']",0
I am fascino collaborate on research in Network and Information Security.,"['Structural Health Monitoring', 'Numerical solutions for non-linear pdes.', 'Mobile computing']",0
I am passionate about Electricity and Magnetism and want to explore more in this field.,"['Predictive Analytics', 'Battery management system', 'Green and Sustainable Extraction of Bioactive Compounds']",0
I am looking to enhance my skills in Mobile Commerce.,"['Advanced Computer Networks', 'Introduction to Data Science using R', 'Mobile Commerce']",1
I am fascino collaborate on research in ICT in Environment.,"['Energy harvesting', 'Civil Engineering / water resources management', 'Identification Technology']",0
I want to gain hands-on experience in Programming Languages.,"['Robotics & Automated Systems: the Robot Operating System ROS', 'Sustainable Development', 'Programming Languages']",1
I want to bated by Telecommunications Engineering and its potential to solve real-world problems.,"['Modular and precast structures', 'Industrial Automation', 'Solar Energy']",0
I want to contribute to innovative solutions in E-Commerce Design.,"['Battery state estimation', 'Engineering drawing', 'Data Structures and Algorithms']",0
I want to contribute to innovative solutions in Properties and Application of Materials.,"['Fastening technology', 'Electrical machines', 'Properties and Application of Materials']",1
"I am excited to explore the latest advancements in Engineering Education, Impact of Technology on Society, Creative Robotics.","['Life cycle assessment and environmental impacts', 'Sports Engineering and Performance Analysis', 'Natural Language Processing']",0
I want to work on projects related to Process Control.,"['Numerical Methods for Civil Engineers', 'Synthesis & development of 2D nanomaterials, composites, & intermetallic compounds', 'Process Control']",1
I want to contribute to innovative solutions in Radiation Physics: Detection and removal of toxic metals in food and environmental samples.,"['Algorithm Analysis and Design', 'Circuit and System Simulation', 'Advanced Micro- Technologies']",0
I want to contribute to innovative solutions in Federated Learning.,"['DevOps', 'Energy Optimization', 'Federated Learning']",1
I am fascino collaborate on research in Nanomaterial for Ultrashort Fiber Laser.,"['Sports Engineering and Performance Analysis', 'Surface Chemistry & Material Functionalization', 'Algorithm Analysis and Design']",0
