SentenceID,SentenceText,Human_Positive_Topics,Human_Negative_Topics,Gemini_Positive_Topics_Str,Gemini_Negative_Topics_Str
170,"For my thesis, I want to focus on computer vision systems and implementing advanced image processing algorithms for automated recognition tasks. The intersection of artificial intelligence with visual computing really fascinates my technical curiosity. However, I'd rather avoid projects involving ocean current modeling or marine biology simulations. These environmental science applications don't match my interest in intelligent visual processing and recognition systems.","['Computer Vision', 'Image Processing']",['No Match'],"['Computer Vision', 'Image Processing', 'Artificial Intelligence']",['Environment']
171,My capstone interests revolve around developing scalable cloud computing architectures and implementing distributed system frameworks for modern applications. The infrastructure approach of cloud technologies really appeals to my system design mindset. But I want to steer clear of linguistic anthropology software or cultural heritage digitization projects. These humanities-focused applications feel too academic for my technical cloud infrastructure development interests.,"['Cloud Computing', 'Distributed Systems']",['No Match'],"['Cloud Computing', 'Distributed Systems']",['No Match']
172,"I'm drawn to working on natural language processing applications and creating intelligent text analysis systems for communication enhancement. The computational linguistics aspect of NLP really captures my interdisciplinary programming interests. However, I'm not interested in developing archaeological site mapping software or historical artifact cataloging systems. These cultural preservation technologies don't align with my focus on modern language processing applications.",['Natural Language Processing'],['No Match'],['Natural Language Processing'],['No Match']
173,"For my final year, I'm excited about implementing sophisticated database management systems and developing comprehensive data analytics platforms for business intelligence. The structured approach to information organization really motivates my systematic programming mindset. Unfortunately, I want to avoid working on meteorological prediction models or weather simulation systems. These atmospheric science applications feel too specialized for my general data management interests.","['Databases', 'Data Analytics']",['No Match'],"['Databases', 'Data Analytics']",['No Match']
174,"My project focus is on creating advanced robotics control systems and developing automated mechanical solutions for industrial applications. The integration of software and hardware in robotic systems really excites my mechatronic engineering interests. However, I'd prefer to skip paleontology database systems or fossil classification software development. These prehistoric research applications don't match my focus on modern automated robotics solutions.",['Robotics'],['No Match'],['Robotics'],['No Match']
175,I'm passionate about working on deep learning architectures and implementing neural network optimization techniques for intelligent pattern recognition. The mathematical beauty of artificial neural computation really drives my AI research enthusiasm. But I'm not keen on developing genealogy tracking software or family tree analysis systems. These personal history applications feel too niche for my broad artificial intelligence development interests.,"['Deep Learning', 'Neural Networks']",['No Match'],"['Deep Learning', 'Neural Networks', 'Pattern Recognition', 'Artificial Intelligence']",['No Match']
176,"For my thesis, I want to explore Internet of Things solutions and creating smart device integration systems for connected home environments. The pervasive computing aspect of IoT really appeals to my vision of interconnected technology ecosystems. However, I want to avoid working on archaeological excavation planning software or site documentation systems. These historical research applications don't align with my focus on modern smart home automation technologies.",['Internet of Things'],['No Match'],['Internet of Things'],['No Match']
177,"My capstone interests center around developing robust software engineering methodologies and implementing scalable application development frameworks for enterprise solutions. The systematic approach to code architecture really resonates with my structured programming philosophy. Unfortunately, I'm not interested in developing marine navigation software or underwater exploration systems. These nautical applications feel too specialized for my general software development framework interests.",['Software Engineering'],['No Match'],"['Software Engineering', 'Application Development']",['No Match']
178,"I'm drawn to working on innovative blockchain implementations and creating decentralized application architectures for distributed ledger systems. The revolutionary potential of cryptocurrency technology really motivates my fintech development interests. However, I'd rather avoid projects involving wildlife tracking systems or ecological monitoring software. These conservation applications don't match my focus on financial technology and blockchain development.",['Blockchain'],['No Match'],['Blockchain'],['Environment']
179,"For my final year, I'm excited about creating interactive information visualization tools and developing dynamic data presentation systems for analytics dashboards. The art of making complex datasets accessible really appeals to my data communication skills. But I want to steer clear of theological text analysis or religious manuscript digitization projects. These spiritual computing applications feel too academic for my business-focused data visualization interests.",['Information Visualization'],['No Match'],"['Information Visualization', 'Data Analysis']",['No Match']
180,"My project focus is on implementing comprehensive automated testing frameworks and developing quality assurance systems for software reliability validation. The precision aspect of testing methodology really excites my detail-oriented programming approach. However, I'm not keen on working with particle physics simulation software or quantum field theory modeling systems. These theoretical physics applications feel too abstract for my practical software testing and validation focus.",['Automated Test and Measurement Systems'],['No Match'],"['Automated Test and Measurement Systems', 'Software Engineering']",['No Match']
